,pct_missing,nobs,r2,r2_adj,bic,r2_pred,mse_pred,mape_pred,const_ci_rng,const_estimate,const_in_target,const_true_beta,x1_ci_rng,x1_estimate,x1_in_target,x1_true_beta,x1:x2_ci_rng,x1:x2_estimate,x1:x2_in_target,x1:x2_true_beta,x2_ci_rng,x2_estimate,x2_in_target,x2_true_beta,action_type,beta_sigma,sample_size,beta_x2/beta_x1,beta_x1:x2/beta_x1,_beta_sigma,_sample_size,_beta_x2/beta_x1,_beta_x1:x2/beta_x1
1,0.1,20.0,0.9244077653612494,0.9102342213664836,64.29534562840904,0.9257898762593622,0.6425949967966538,3.731305791688773,3.4918066920905675,9.352845968405703,1,10,7.970650136653109,9.380137550719965,1,10,13.488569447116717,2.4207674827942594,1,1,5.9258716122107025,1.5490760383332374,1,1.0,invert,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
2,0.2,20.0,0.9487626665993901,0.9391556665867757,56.517643084832166,0.8853961320463476,0.9923696181661749,3.7811324250506386,2.808544132458464,9.131024762965453,1,10,7.470134018681052,11.731523050524437,1,10,11.269856679566745,0.7152787246571126,1,1,4.667602840436573,1.6198562299310066,1,1.0,invert,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
3,0.30000000000000004,20.0,0.9290932389012422,0.9157982211952251,63.0155901995043,0.9431742064549649,0.49206184790449087,2.888844042833289,2.822334331778759,10.133062747335712,1,10,7.32363367402656,9.074426829290669,1,10,12.554645732746266,2.8354519271564236,1,1,5.005180592664258,0.3693647872651755,1,1.0,invert,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
4,0.4,20.0,0.9239202979045573,0.9096553537616618,64.42390444967447,0.9376226241486273,0.5401337124229401,3.062472485805665,3.3314636203522063,9.598711283399545,1,10,8.642574453635874,10.117214529358456,1,10,13.83392844494054,2.0618653593075003,1,1,5.46432219567607,0.7647992149048841,1,1.0,invert,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
5,0.5,20.0,0.950696217500977,0.9414517582824102,55.748290443058224,0.912454544776631,0.7580673455745248,4.053695231110638,2.0967513550310706,10.459908104396229,1,10,4.753720713056282,7.662141570419331,1,10,8.769024376395471,4.772470478200052,1,1,3.917740735473364,0.057546971610492825,1,1.0,invert,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
6,0.6000000000000001,20.0,0.9653094396991196,0.9588049596427046,48.717626648692196,0.9084624860508476,0.7926350950243501,4.057930100168665,1.5474508661180124,10.993745919875892,0,10,3.791787535532226,7.647089018537743,0,10,8.340382331772197,1.8950227456480526,1,1,3.1899456272832265,-0.09122624478270944,1,1.0,invert,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
7,0.7000000000000001,20.0,0.9934990388576989,0.9922801086435173,15.227275078916252,0.8875559519524896,0.9736674600816626,3.7334306823522194,0.7305244181254942,10.35374164480521,1,10,1.7745441825100237,8.972155526144803,0,10,3.654383069374502,0.37276072251559,1,1,1.3793811368053894,0.2032994227961633,0,1.0,invert,0.1,20,0.1,0.1,0.0,0.0,0.0,0.14285714285714285
0,0.0,50.0,0.9426206844513444,0.938878555176432,141.91734902704317,0.7874605643235956,1.868587134416745,6.437940475834105,2.056656232429681,9.287565035901448,1,10,3.658192709120261,12.130620098174415,0,10,5.645382315598102,-1.7081938551830191,1,1,3.399258987140323,1.7794705136197475,1,1.0,invert,0.1,50,0.1,0.1,0.0,0.375,0.0,0.14285714285714285
1,0.1,50.0,0.9472664735815473,0.9438273305542568,137.69572633257545,0.780225678555684,1.9321942218349941,6.510437445268673,1.946187155694318,9.333229675874927,1,10,3.4895085337971743,12.195689587305997,0,10,5.381661466600047,-1.762094489726504,0,1,3.2238927332096,1.694007816725934,1,1.0,invert,0.1,50,0.1,0.1,0.0,0.375,0.0,0.14285714285714285
2,0.2,50.0,0.9575926856728904,0.9548269912602527,126.7991976764746,0.762785929191133,2.0855196091276755,6.978793602488902,1.6912251595732641,9.462598271360912,1,10,3.0279277442864405,12.066267521964662,0,10,4.588726133368503,-1.0663791821751794,1,1,2.740550599523906,1.0102792812606776,1,1.0,invert,0.1,50,0.1,0.1,0.0,0.375,0.0,0.14285714285714285
